,host_name,host_since,neighbourhood,property_type,room_type,price
105,Gabriella,2012-09-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$17,312.00"
106,Janos,2012-09-18,,Entire rental unit,Entire home/apt,"$49,363.00"
107,Jordan & Kate,2012-09-18,"Budapest, Hungary",Entire condo,Entire home/apt,"$26,571.00"
108,Agnes,2012-09-19,"Budapest, Hungary",Entire loft,Entire home/apt,
109,Paolo,2011-04-12,,Entire rental unit,Entire home/apt,"$18,697.00"
110,Kevin,2012-05-27,,Entire rental unit,Entire home/apt,"$34,414.00"
111,Racsak,2012-07-26,"Budapest, Hungary",Private room in condo,Private room,"$67,384.00"
112,Ádám,2012-10-14,,Entire rental unit,Entire home/apt,"$16,401.00"
113,Szilvia,2012-10-27,,Entire loft,Entire home/apt,"$30,642.00"
114,Sophia,2011-08-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$41,809.00"
115,Thomas,2012-11-07,"Budapest, Hungary",Entire condo,Entire home/apt,"$26,880.00"
116,Opera Garden,2012-11-08,,Room in boutique hotel,Hotel room,
117,Judit,2012-11-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$19,656.00"
118,Szilvia,2012-10-27,"Budapest, Hungary",Entire loft,Entire home/apt,"$35,213.00"
119,Éva,2012-11-05,"Budapest, Hungary",Entire condo,Entire home/apt,"$26,101.00"
120,Andrew,2011-09-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$30,297.00"
121,Thomas,2012-11-07,"Budapest, Hungary",Entire condo,Entire home/apt,"$181,416.00"
122,Thomas,2012-11-07,"Budapest, Hungary",Entire condo,Entire home/apt,"$21,735.00"
123,Thomas,2012-11-07,"Budapest, Hungary",Entire condo,Entire home/apt,"$38,265.00"
124,Judit,2012-12-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,568.00"
125,Gyorgy,2012-10-19,"Budapest, Hungary",Entire condo,Entire home/apt,
126,Stefano,2014-03-13,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$37,648.00"
127,Stefano,2014-03-13,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$28,513.00"
128,Mike,2012-12-13,,Entire rental unit,Entire home/apt,"$16,273.00"
129,Tamas,2012-12-17,"Budapest, Hungary",Entire condo,Entire home/apt,"$15,371.00"
130,Tamas,2012-12-17,"Budapest, Hungary",Entire condo,Entire home/apt,"$13,935.00"
131,Judit,2012-12-05,,Entire rental unit,Entire home/apt,"$32,084.00"
132,Eliane,2013-01-06,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$38,981.00"
133,Maria,2013-01-14,"Budapest, Hungary",Entire condo,Entire home/apt,"$16,899.00"
134,Péter,2013-01-14,,Entire loft,Entire home/apt,"$20,968.00"
135,Pierre Et Mary,2013-01-27,,Entire rental unit,Entire home/apt,"$39,183.00"
136,Carmen & Tomi,2013-01-27,"Budapest, Hungary",Entire loft,Entire home/apt,"$16,592.00"
137,Ferdinando,2012-02-20,,Entire rental unit,Entire home/apt,"$19,101.00"
138,Jul,2013-02-07,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$49,888.00"
139,Niki,2013-02-13,,Entire rental unit,Entire home/apt,"$109,439.00"
140,Sándor,2013-03-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$20,244.00"
141,Agnes,2013-03-05,,Entire rental unit,Entire home/apt,"$16,383.00"
142,Sebastian,2013-03-12,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$121,138.00"
143,Judit,2013-03-23,"Budapest, Hungary",Private room in hostel,Private room,"$25,449.00"
144,Krisztián,2013-01-04,,Entire rental unit,Entire home/apt,"$19,373.00"
145,Attila,2011-05-11,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$13,777.00"
146,Eva,2012-06-21,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,290.00"
147,Kate&Steve,2013-04-10,,Private room in condo,Private room,"$10,544.00"
148,Balazs,2013-04-15,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,488.00"
149,Tamara,2013-04-16,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,468.00"
150,Tamara,2013-04-16,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$21,632.00"
151,Sophie,2013-04-17,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,158.00"
152,Roberta,2013-04-19,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$33,182.00"
153,Mª Dolores,2013-04-23,"Budapest, Hungary",Entire rental unit,Entire home/apt,
154,László,2013-05-01,,Entire rental unit,Entire home/apt,"$23,692.00"
155,Sebastian,2013-03-12,,Entire rental unit,Entire home/apt,"$35,992.00"
156,Miklós,2013-05-08,,Entire condo,Entire home/apt,"$20,286.00"
157,Mª Dolores,2013-04-23,,Entire rental unit,Entire home/apt,
158,Venus,2012-07-19,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$35,802.00"
159,László,2013-05-01,,Entire condo,Entire home/apt,"$20,165.00"
160,Gabriella,2013-05-20,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,750.00"
161,Mária,2013-05-22,,Entire condo,Entire home/apt,"$46,161.00"
